[2025-04-12T06:05:53.838+0000] {things_to_do.py:103} INFO - Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/new-world-stages
[2025-04-12T06:05:57.316+0000] {things_to_do.py:103} INFO - Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/federal-hall
[2025-04-12T06:06:00.692+0000] {things_to_do.py:103} INFO - Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/queensboro-bridge
[2025-04-12T06:06:05.554+0000] {things_to_do.py:103} INFO - Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-film-academy
[2025-04-12T06:06:09.468+0000] {things_to_do.py:103} INFO - Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/herald-square
[2025-04-12T06:06:12.916+0000] {things_to_do.py:103} INFO - Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/pennsylvania-station
[2025-04-12T06:06:16.371+0000] {things_to_do.py:103} INFO - Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-university
[2025-04-12T06:06:19.816+0000] {things_to_do.py:103} INFO - Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/eleven-madison-park
[2025-04-12T06:06:24.835+0000] {things_to_do.py:103} INFO - Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/momofuku-ko
[2025-04-12T06:06:28.315+0000] {things_to_do.py:103} INFO - Scraping place 13/15: https://www.triphobo.com/places/new-york-city-united-states/aldea
[2025-04-12T06:06:31.839+0000] {things_to_do.py:103} INFO - Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/brick-lane-curry-house
[2025-04-12T06:06:37.826+0000] {things_to_do.py:103} INFO - Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/queen-s-zoo
[2025-04-12T06:06:41.232+0000] {things_to_do.py:96} INFO - Scraping page 10: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=10
[2025-04-12T06:06:45.333+0000] {things_to_do.py:99} INFO - Found 13 attraction links
[2025-04-12T06:06:45.333+0000] {things_to_do.py:103} INFO - Scraping place 1/13: https://www.triphobo.com/places/new-york-city-united-states/great-new-york-noodle-town
[2025-04-12T06:06:48.747+0000] {things_to_do.py:103} INFO - Scraping place 2/13: https://www.triphobo.com/places/new-york-city-united-states/junoon
[2025-04-12T06:06:52.214+0000] {things_to_do.py:103} INFO - Scraping place 3/13: https://www.triphobo.com/places/new-york-city-united-states/greenhouse-36
[2025-04-12T06:06:56.030+0000] {things_to_do.py:103} INFO - Scraping place 4/13: https://www.triphobo.com/places/new-york-city-united-states/the-press-lounge
[2025-04-12T06:07:01.004+0000] {things_to_do.py:103} INFO - Scraping place 5/13: https://www.triphobo.com/places/new-york-city-united-states/penthouse-808
[2025-04-12T06:07:04.374+0000] {things_to_do.py:103} INFO - Scraping place 6/13: https://www.triphobo.com/places/new-york-city-united-states/the-slipper-room
[2025-04-12T06:07:07.994+0000] {things_to_do.py:103} INFO - Scraping place 7/13: https://www.triphobo.com/places/new-york-city-united-states/northern-theatre
[2025-04-12T06:07:11.433+0000] {things_to_do.py:103} INFO - Scraping place 8/13: https://www.triphobo.com/places/new-york-city-united-states/alma
[2025-04-12T06:07:14.865+0000] {things_to_do.py:103} INFO - Scraping place 9/13: https://www.triphobo.com/places/new-york-city-united-states/new-york-aquarium
[2025-04-12T06:07:18.246+0000] {things_to_do.py:103} INFO - Scraping place 10/13: https://www.triphobo.com/places/new-york-city-united-states/the-box
[2025-04-12T06:07:21.947+0000] {things_to_do.py:103} INFO - Scraping place 11/13: https://www.triphobo.com/places/new-york-city-united-states/lit-lounge
[2025-04-12T06:07:25.495+0000] {things_to_do.py:103} INFO - Scraping place 12/13: https://www.triphobo.com/places/new-york-city-united-states/white-horse-tavern
[2025-04-12T06:07:29.076+0000] {things_to_do.py:103} INFO - Scraping place 13/13: https://www.triphobo.com/places/new-york-city-united-states/kettle-of-fish
[2025-04-12T06:07:32.715+0000] {things_to_do.py:122} INFO - Data saved to /tmp/triphobo_data/multi_city_attractions.csv
[2025-04-12T06:07:32.716+0000] {things_to_do.py:132} INFO - Attraction scraping completed, data saved to /tmp/triphobo_data/multi_city_attractions.csv
[2025-04-12T06:07:32.716+0000] {python.py:240} INFO - Done. Returned value was: None
[2025-04-12T06:07:32.723+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2025-04-12T06:07:32.723+0000] {taskinstance.py:352} INFO - Marking task as SUCCESS. dag_id=triphobo_etl_pipeline, task_id=scrape_attractions, run_id=manual__2025-04-12T05:57:19.595174+00:00, execution_date=20250412T055719, start_date=20250412T055721, end_date=20250412T060732
